class,original_samples_distribution,predicted_samples_distribution
0,2796,1976
1,1433,1471
2,2854,1991
3,2166,1883
4,471,1352
5,198,1200
6,4553,2288
7,1712,1585
8,78,1036
9,683,1469
10,592,1399
11,390,1301
12,1985,1710
13,4194,2048
14,81,1104
15,3597,2021
16,246,1280
17,27,942
