parameter_value_n_clusters,score
12,1.8651716473049904
13,1.787761380605074
14,1.7934972262450242
15,1.773656432744596
16,1.739193911210235
17,1.7186113647021042
18,1.6925604763752815
19,1.7694551486316383
20,1.6867906970363673
