precision,recall,f1-score,support
0.09008097165991903,0.06366237482117311,0.07460184409052809,2796.0
0.15091774303195105,0.15491974877878575,0.15289256198347104,1433.0
0.12104470115519839,0.08444288717589349,0.09948400412796699,2854.0
0.0,0.0,0.0,2166.0
0.0,0.0,0.0,471.0
0.0,0.0,0.0,198.0
0.24562937062937062,0.12343509773775532,0.16430346440578864,4553.0
0.08580441640378549,0.0794392523364486,0.08249924173491052,1712.0
0.0,0.0,0.0,78.0
0.005445881552076242,0.01171303074670571,0.007434944237918216,683.0
0.016440314510364547,0.03885135135135135,0.02310396785534907,592.0
0.0,0.0,0.0,390.0
0.023391812865497075,0.020151133501259445,0.021650879566982407,1985.0
0.15234375,0.07439198855507868,0.099967958987504,4194.0
0.0,0.0,0.0,81.0
0.11875309252845126,0.06672226855713094,0.08543965824136703,3597.0
0.0125,0.06504065040650407,0.020969855832241154,246.0
0.0010615711252653928,0.037037037037037035,0.002063983488132095,27.0
0.07053749643570002,0.07053749643570002,0.07053749643570002,0.07053749643570002
0.05685631252565995,0.04554482338917354,0.04635624247511996,28056.0
0.11433967638134794,0.07053749643570002,0.08534575545595935,28056.0
