parameter_value_n_clusters,score
12,2.0737147903290447
13,2.297470261882361
14,2.0257049783911585
15,1.9940717306564406
16,1.8091479385323253
17,2.026669719570582
18,2.0793990121814185
19,2.0665882827541124
20,1.9132061189518081
