parameter_value_n_clusters,score
12,1.66110616076711
13,1.6446424806262905
14,1.642741491726611
15,1.6544842925748116
16,1.635315280680028
17,1.5418630751922553
18,1.6072503464657353
19,1.639050064909533
20,1.5354601077192889
