precision,recall,f1-score,support
0.17075664621676892,0.11945636623748211,0.14057239057239057,2796.0
0.04417670682730924,0.046057222609909285,0.045097369320122996,1433.0
0.09356435643564356,0.0662228451296426,0.07755437012720558,2854.0
0.011276268580215274,0.010156971375807941,0.010687393733300946,2166.0
0.0,0.0,0.0,471.0
0.0,0.0,0.0,198.0
0.17945007235890015,0.10893916099275203,0.13557468908022413,4553.0
0.12169919632606199,0.12383177570093458,0.12275622466705267,1712.0
0.0,0.0,0.0,78.0
0.010217983651226158,0.021961932650073207,0.01394700139470014,683.0
0.004810996563573883,0.011824324324324325,0.006839276990718124,592.0
0.0,0.0,0.0,390.0
0.02021772939346812,0.01964735516372796,0.019928461931527853,1985.0
0.26745778183477864,0.139723414401526,0.18355520751761942,4194.0
0.023613963039014373,0.2839506172839506,0.04360189573459716,81.0
0.12411847672778561,0.07339449541284404,0.09224318658280922,3597.0
0.008272058823529412,0.036585365853658534,0.013493253373313344,246.0
0.016591251885369532,0.4074074074074074,0.03188405797101449,27.0
0.08101653835186769,0.08101653835186769,0.08101653835186769,0.08101653835186769
0.06090130492575804,0.08161995858578004,0.05209637661092203,28056.0
0.12404155913195042,0.08101653835186769,0.09595302659822331,28056.0
