parameter_value_eps,score
0.01,0.5176600523248919
0.02,0.5018424693903532
0.03,1.2485989722740805
0.04,1.2447070155659077
0.05,1.1182615115053407
0.1,1.164346919287972
0.2,1.22323045937109
0.3,1.2370804074951836
0.4,1.2465305109107876
