parameter_value_n_clusters,score
2,2.1924910854256754
3,1.8710081423666811
4,1.8443537197503326
5,1.69105839404761
6,1.6170259753044773
7,1.6331272762297366
8,1.5441220624415775
9,1.6015015193891664
10,1.4958559896299661
11,1.4783249657620579
12,1.4916603446521173
13,1.4937885069791053
14,1.4437869468963558
15,1.4602633115141654
16,1.4510999799163335
