precision,recall,f1-score,support
0.05132543711223914,0.032546494992846925,0.0398336616327424,2796.0
0.1071849234393404,0.1270062805303559,0.11625678696901949,1433.0
0.09100998890122086,0.05746320953048353,0.070446735395189,2854.0
0.10445205479452055,0.08448753462603878,0.09341500765696784,2166.0
0.024119947848761408,0.07855626326963906,0.03690773067331671,471.0
0.0,0.0,0.0,198.0
0.15110178384050368,0.06325499670546893,0.08917789131444495,4553.0
0.06962025316455696,0.07067757009345794,0.07014492753623189,1712.0
0.026759167492566897,0.34615384615384615,0.04967801287948482,78.0
0.019757807520713832,0.04538799414348463,0.027531083481349913,683.0
0.05897602073882048,0.15371621621621623,0.08524590163934427,592.0
0.0,0.0,0.0,390.0
0.042455536431440045,0.03727959697732997,0.03969957081545064,1985.0
0.2192454893384363,0.09561278016213638,0.13315623443466712,4194.0
0.01638065522620905,0.25925925925925924,0.03081438004402054,81.0
0.19141914191419143,0.09674728940783987,0.12853185595567868,3597.0
0.0,0.0,0.0,246.0
0.005945303210463734,0.18518518518518517,0.011520737327188939,27.0
0.07356715141146279,0.07356715141146279,0.07356715141146279,0.07356715141146279
0.06554186172077693,0.09629636206964381,0.056797806541949845,28056.0
0.11925833336360579,0.07356715141146279,0.0855575482585877,28056.0
