parameter_value_n_clusters,score
12,1.4944180613340636
13,1.4965831371812388
14,1.4833151903299995
15,1.4734693808234738
16,1.4344396519872848
17,1.460709856880463
18,1.4252088547858837
19,1.4278345160071162
20,1.4155280298112636
