class,original_samples_distribution,predicted_samples_distribution
0,2796,1773
1,1433,1698
2,2854,1802
3,2166,1752
4,471,1534
5,198,1314
6,4553,1906
7,1712,1738
8,78,1009
9,683,1569
10,592,1543
11,390,1501
12,1985,1743
13,4194,1829
14,81,1282
15,3597,1818
16,246,1404
17,27,841
