precision,recall,f1-score,support
0.0640176600441501,0.04148783977110158,0.050347222222222224,2796.0
0.030037546933667083,0.03349616189811584,0.03167271527548664,1433.0
0.1146288209606987,0.07358093903293624,0.08962868117797695,2854.0
0.2,0.15558633425669438,0.17501947546091925,2166.0
0.07909604519774012,0.23779193205944799,0.118706942236354,471.0
0.00529500756429652,0.03535353535353535,0.009210526315789473,198.0
0.24667729930887825,0.10191082802547771,0.14423375815977618,4553.0
0.07326007326007326,0.07009345794392523,0.07164179104477611,1712.0
0.0,0.0,0.0,78.0
0.0,0.0,0.0,683.0
0.052884615384615384,0.13006756756756757,0.07519531249999999,592.0
0.028429282160625444,0.10256410256410256,0.04451864218141347,390.0
0.07032181168057211,0.059445843828715365,0.06442806442806442,1985.0
0.24034334763948498,0.10681926561754888,0.1479035985473754,4194.0
0.0,0.0,0.0,81.0
0.15789473684210525,0.08090075062552127,0.10698529411764705,3597.0
0.0,0.0,0.0,246.0
0.005076142131979695,0.2222222222222222,0.009925558312655087,27.0
0.08532934131736528,0.08532934131736528,0.08532934131736528,0.08532934131736528
0.07599791050604927,0.08062893226482847,0.06330097677669203,28056.0
0.14354511719477278,0.08532934131736528,0.10170021970669871,28056.0
