class,original_samples_distribution,predicted_samples_distribution
0,2796,1812
1,1433,1598
2,2854,1832
3,2166,1685
4,471,1416
5,198,1322
6,4553,1881
7,1712,1638
8,78,1237
9,683,1573
10,592,1456
11,390,1407
12,1985,1678
13,4194,1864
14,81,1277
15,3597,1843
16,246,1355
17,27,1182
